Current cuda device  3
Files already downloaded and verified
trainloader :  <torch.utils.data.dataloader.DataLoader object at 0x7f3e429981f0>
residual 1 time : 0.0036542564630508423
residual 2 time : 0.002530958503484726
residual 3 time : 0.0025183595716953278
residual 4 time : 0.0027587153017520905
residual 5 time : 0.0019347192719578743
residual 6 time : 0.0016322871670126915
residual 7 time : 0.001864369958639145
residual 8 time : 0.0021542320027947426
residual 9 time : 0.001137082464993
residual 10 time : 0.0013516554608941078
residual 11 time : 0.0011425046250224113
residual 12 time : 0.001290731132030487
residual 13 time : 0.0013772454112768173
residual 14 time : 0.001126810908317566
residual 15 time : 0.0013140402734279633
residual 16 time : 0.0011561010032892227
residual 17 time : 0.001340160146355629
residual 18 time : 0.001269846223294735
residual 19 time : 0.0011371765285730362
residual 20 time : 0.0013135513290762901
residual 21 time : 0.0011346470564603806
residual 22 time : 0.0013290373608469963
residual 23 time : 0.0028066327795386314
residual 24 time : 0.0038655931130051613
residual 25 time : 0.004057381302118301
residual 26 time : 0.0024358294904232025
residual 27 time : 0.0018175914883613586
residual 28 time : 0.0018147705122828484
residual 29 time : 0.00159528199583292
residual 30 time : 0.0018173037096858025
residual 31 time : 0.0023720888420939445
residual 32 time : 0.0015304740518331528
residual 33 time : 0.0015239780768752098
[0] forward pass batch GPU 0.42154655512422323s
residual 1 time : 0.0029365643858909607
residual 2 time : 0.00233254861086607
residual 3 time : 0.002326296642422676
residual 4 time : 0.0027782749384641647
residual 5 time : 0.0014926064759492874
residual 6 time : 0.0014852359890937805
residual 7 time : 0.0014920737594366074
residual 8 time : 0.002190597355365753
residual 9 time : 0.0011318512260913849
residual 10 time : 0.0011029858142137527
residual 11 time : 0.001095043495297432
residual 12 time : 0.0011174911633133888
residual 13 time : 0.001093628816306591
residual 14 time : 0.0010926155373454094
residual 15 time : 0.0010975031182169914
residual 16 time : 0.0011059064418077469
residual 17 time : 0.0010997960343956947
residual 18 time : 0.0010926984250545502
residual 19 time : 0.001124800182878971
residual 20 time : 0.001094103790819645
residual 21 time : 0.0010915445163846016
residual 22 time : 0.0010909130796790123
residual 23 time : 0.0011085085570812225
residual 24 time : 0.0010929545387625694
residual 25 time : 0.0010886462405323982
residual 26 time : 0.0010967887938022614
residual 27 time : 0.001100841909646988
residual 28 time : 0.0010909447446465492
residual 29 time : 0.001092410646378994
residual 30 time : 0.001072780229151249
residual 31 time : 0.0016957353800535202
residual 32 time : 0.0014117574319243431
residual 33 time : 0.0011548828333616257
[1] forward pass batch GPU 0.046929399482905865s
residual 1 time : 0.002849533222615719
residual 2 time : 0.0022200094535946846
residual 3 time : 0.002214258536696434
residual 4 time : 0.002411395311355591
residual 5 time : 0.0013211620971560478
residual 6 time : 0.0013156216591596603
residual 7 time : 0.0013157417997717857
residual 8 time : 0.0017234347760677338
residual 9 time : 0.0008763866499066353
residual 10 time : 0.0008690757676959038
residual 11 time : 0.0008712233975529671
residual 12 time : 0.0008728997781872749
residual 13 time : 0.0008724881336092949
residual 14 time : 0.000872722826898098
residual 15 time : 0.0008744699880480766
residual 16 time : 0.0008760979399085045
residual 17 time : 0.0008721239864826202
residual 18 time : 0.0008742110803723335
residual 19 time : 0.0008710240945219994
residual 20 time : 0.0008698515594005585
residual 21 time : 0.0008668694645166397
residual 22 time : 0.0008700555190443993
residual 23 time : 0.0008696373552083969
residual 24 time : 0.0008745249360799789
residual 25 time : 0.0008748378604650497
residual 26 time : 0.0008683614432811737
residual 27 time : 0.0008783601224422455
residual 28 time : 0.0008765161037445068
residual 29 time : 0.0008751042187213898
residual 30 time : 0.0008773673325777054
residual 31 time : 0.0016075130552053452
residual 32 time : 0.0010729748755693436
residual 33 time : 0.001061159186065197
[2] forward pass batch GPU 0.039118221029639244s
residual 1 time : 0.0028981706127524376
residual 2 time : 0.0022624321281909943
residual 3 time : 0.0022502969950437546
residual 4 time : 0.002445302903652191
residual 5 time : 0.0013484973460435867
residual 6 time : 0.0013471255078911781
residual 7 time : 0.0013479935005307198
residual 8 time : 0.0017606709152460098
residual 9 time : 0.0009786803275346756
residual 10 time : 0.0009616706520318985
residual 11 time : 0.0009634802117943764
residual 12 time : 0.0009645763784646988
residual 13 time : 0.0009660478681325912
residual 14 time : 0.0009538345038890839
residual 15 time : 0.0009639430791139603
residual 16 time : 0.0009670071303844452
residual 17 time : 0.0009674867615103722
residual 18 time : 0.000959138385951519
residual 19 time : 0.0009581400081515312
residual 20 time : 0.0009649274870753288
residual 21 time : 0.000959932804107666
residual 22 time : 0.0009579909965395927
residual 23 time : 0.0009509166702628136
residual 24 time : 0.0009740907698869705
residual 25 time : 0.000967925414443016
residual 26 time : 0.0009651500731706619
residual 27 time : 0.0009610932320356369
residual 28 time : 0.0009923288598656654
residual 29 time : 0.0009664706885814667
residual 30 time : 0.0009566387161612511
residual 31 time : 0.0016280598938465118
residual 32 time : 0.0011038901284337044
residual 33 time : 0.0010839523747563362
[3] forward pass batch GPU 0.041856556199491024s
residual 1 time : 0.002873803488910198
residual 2 time : 0.002269645221531391
residual 3 time : 0.002252490259706974
residual 4 time : 0.002439809963107109
residual 5 time : 0.0013549653813242912
residual 6 time : 0.0013448381796479225
residual 7 time : 0.0013452870771288872
residual 8 time : 0.0017598941922187805
residual 9 time : 0.000979132018983364
residual 10 time : 0.0009768819436430931
residual 11 time : 0.0009728427976369858
residual 12 time : 0.0009611910209059715
residual 13 time : 0.0009564999490976334
residual 14 time : 0.0009594615548849106
residual 15 time : 0.0009747324511408806
residual 16 time : 0.0009605716913938522
residual 17 time : 0.0009601665660738945
residual 18 time : 0.0009637260809540749
residual 19 time : 0.0009633312001824379
residual 20 time : 0.0009675063192844391
residual 21 time : 0.0009670844301581383
residual 22 time : 0.0009635938331484795
residual 23 time : 0.0009721620008349419
residual 24 time : 0.0009598731994628906
residual 25 time : 0.0009547751396894455
residual 26 time : 0.0009552119299769402
residual 27 time : 0.0009827762842178345
residual 28 time : 0.0009582797065377235
residual 29 time : 0.0009626355022192001
residual 30 time : 0.0009522316977381706
residual 31 time : 0.0016245543956756592
residual 32 time : 0.0010907622054219246
residual 33 time : 0.0010834895074367523
[4] forward pass batch GPU 0.041707239113748074s
residual 1 time : 0.0029000025242567062
residual 2 time : 0.0022599175572395325
residual 3 time : 0.0022521717473864555
residual 4 time : 0.002446257509291172
residual 5 time : 0.0013559609651565552
residual 6 time : 0.0013543404638767242
residual 7 time : 0.0013561109080910683
residual 8 time : 0.0017701098695397377
residual 9 time : 0.0010069506242871284
residual 10 time : 0.0009741159155964851
residual 11 time : 0.0009759319946169853
residual 12 time : 0.0009618038311600685
residual 13 time : 0.001003446988761425
residual 14 time : 0.0009585702791810036
residual 15 time : 0.000959969125688076
residual 16 time : 0.0009573595598340034
residual 17 time : 0.0009686499834060669
residual 18 time : 0.0009603854268789291
residual 19 time : 0.0009543402120471001
residual 20 time : 0.0009578485041856766
residual 21 time : 0.0009549735113978386
residual 22 time : 0.0009643621742725372
residual 23 time : 0.0009555406868457794
residual 24 time : 0.0009655561298131943
residual 25 time : 0.0009626410901546478
residual 26 time : 0.0009707743301987648
residual 27 time : 0.000965154729783535
residual 28 time : 0.000965396873652935
residual 29 time : 0.0010078689083456993
residual 30 time : 0.0009704949334263802
residual 31 time : 0.0016268165782094002
residual 32 time : 0.0010995380580425262
residual 33 time : 0.001096906140446663
[5] forward pass batch GPU 0.042042747139930725s
residual 1 time : 0.0028866231441497803
residual 2 time : 0.0022510774433612823
residual 3 time : 0.002253066748380661
residual 4 time : 0.002453260123729706
residual 5 time : 0.0013553733006119728
residual 6 time : 0.0013516517356038094
residual 7 time : 0.0013651233166456223
residual 8 time : 0.0017687585204839706
residual 9 time : 0.0009906282648444176
residual 10 time : 0.0009769406169652939
residual 11 time : 0.0009684404358267784
residual 12 time : 0.0009964825585484505
residual 13 time : 0.0009647412225604057
residual 14 time : 0.0009651202708482742
residual 15 time : 0.0009621372446417809
residual 16 time : 0.0009793583303689957
residual 17 time : 0.0009780144318938255
residual 18 time : 0.000965384766459465
residual 19 time : 0.0009616361930966377
residual 20 time : 0.0009770309552550316
residual 21 time : 0.0009631626307964325
residual 22 time : 0.0009634895250201225
residual 23 time : 0.0009634662419557571
residual 24 time : 0.000998084433376789
residual 25 time : 0.0009678993374109268
residual 26 time : 0.000966489315032959
residual 27 time : 0.0009852210059762
residual 28 time : 0.0009801341220736504
residual 29 time : 0.0009772097691893578
residual 30 time : 0.000975574366748333
residual 31 time : 0.0016267243772745132
residual 32 time : 0.001103246584534645
residual 33 time : 0.0010841302573680878
[6] forward pass batch GPU 0.042008208110928535s
residual 1 time : 0.002859302796423435
residual 2 time : 0.0022261617705225945
residual 3 time : 0.0022181691601872444
residual 4 time : 0.002425151877105236
residual 5 time : 0.0013273637741804123
residual 6 time : 0.0013250894844532013
residual 7 time : 0.001329720951616764
residual 8 time : 0.0017397254705429077
residual 9 time : 0.0008757859468460083
residual 10 time : 0.0008767331019043922
residual 11 time : 0.0008757701143622398
residual 12 time : 0.0008741533383727074
residual 13 time : 0.0008724983781576157
residual 14 time : 0.0008747102692723274
residual 15 time : 0.0008730059489607811
residual 16 time : 0.0008776839822530746
residual 17 time : 0.0008819149807095528
residual 18 time : 0.000878666527569294
residual 19 time : 0.0008707772940397263
residual 20 time : 0.0008736830204725266
residual 21 time : 0.0008713947609066963
residual 22 time : 0.000868210569024086
residual 23 time : 0.0008724872022867203
residual 24 time : 0.0008723307400941849
residual 25 time : 0.0008758148178458214
residual 26 time : 0.0008734222501516342
residual 27 time : 0.0008723745122551918
residual 28 time : 0.0008725002408027649
residual 29 time : 0.0008697062730789185
residual 30 time : 0.0008757170289754868
residual 31 time : 0.0016169417649507523
residual 32 time : 0.001077679917216301
residual 33 time : 0.0010646460577845573
[7] forward pass batch GPU 0.039294810965657234s
residual 1 time : 0.0028298143297433853
residual 2 time : 0.0022268379107117653
residual 3 time : 0.00222595501691103
residual 4 time : 0.0024238955229520798
residual 5 time : 0.0013303514569997787
residual 6 time : 0.0013224948197603226
residual 7 time : 0.0013262182474136353
residual 8 time : 0.0017386740073561668
residual 9 time : 0.0008745910599827766
residual 10 time : 0.0008898619562387466
residual 11 time : 0.0008732452988624573
residual 12 time : 0.0008700210601091385
residual 13 time : 0.00086935143917799
residual 14 time : 0.000872335396707058
residual 15 time : 0.0008741999045014381
residual 16 time : 0.0008758865296840668
residual 17 time : 0.000871279276907444
residual 18 time : 0.0008703172206878662
residual 19 time : 0.000876070000231266
residual 20 time : 0.0008708536624908447
residual 21 time : 0.0008717365562915802
residual 22 time : 0.0008707726374268532
residual 23 time : 0.0008701877668499947
residual 24 time : 0.0008738413453102112
residual 25 time : 0.0008716033771634102
residual 26 time : 0.000868956558406353
residual 27 time : 0.0008747102692723274
residual 28 time : 0.0008877431973814964
residual 29 time : 0.0008696569129824638
residual 30 time : 0.0008716853335499763
residual 31 time : 0.0015976540744304657
residual 32 time : 0.0010659079998731613
residual 33 time : 0.0010478748008608818
[8] forward pass batch GPU 0.039210179820656776s
residual 1 time : 0.0028348248451948166
residual 2 time : 0.002230733633041382
residual 3 time : 0.0022208793088793755
residual 4 time : 0.0024193497374653816
residual 5 time : 0.0013200314715504646
residual 6 time : 0.0013224082067608833
residual 7 time : 0.0013269269838929176
residual 8 time : 0.0017436565831303596
residual 9 time : 0.0008937148377299309
residual 10 time : 0.0008790846914052963
residual 11 time : 0.0008773775771260262
residual 12 time : 0.0008719973266124725
residual 13 time : 0.000873710960149765
residual 14 time : 0.0008747251704335213
residual 15 time : 0.000872521661221981
residual 16 time : 0.000869356095790863
residual 17 time : 0.0008681872859597206
residual 18 time : 0.00086954515427351
residual 19 time : 0.0008682673797011375
residual 20 time : 0.0008696410804986954
residual 21 time : 0.0008654557168483734
residual 22 time : 0.0008684517815709114
residual 23 time : 0.0008735489100217819
residual 24 time : 0.0008702408522367477
residual 25 time : 0.0008657313883304596
residual 26 time : 0.0008648978546261787
