Current cuda device  3
Files already downloaded and verified
trainloader :  <torch.utils.data.dataloader.DataLoader object at 0x7f8c000e41f0>
residual 1 time : 0.008286649361252785
residual 2 time : 0.0062612807378172874
residual 3 time : 0.006246485747396946
residual 4 time : 0.007215331308543682
residual 5 time : 0.003885866142809391
residual 6 time : 0.003687256947159767
residual 7 time : 0.003670130856335163
residual 8 time : 0.0059221722185611725
residual 9 time : 0.0027939509600400925
residual 10 time : 0.002682069316506386
residual 11 time : 0.0026758192107081413
residual 12 time : 0.0026789838448166847
residual 13 time : 0.0027368320152163506
residual 14 time : 0.002680455334484577
residual 15 time : 0.0026828423142433167
residual 16 time : 0.002677277661859989
residual 17 time : 0.0026783039793372154
residual 18 time : 0.0026819324120879173
residual 19 time : 0.0026792818680405617
residual 20 time : 0.002680242992937565
residual 21 time : 0.0026816725730895996
residual 22 time : 0.002693946473300457
residual 23 time : 0.002678804099559784
residual 24 time : 0.0026868637651205063
residual 25 time : 0.0026831012219190598
residual 26 time : 0.0026794523000717163
residual 27 time : 0.002679135650396347
residual 28 time : 0.0027033481746912003
residual 29 time : 0.0026730243116617203
residual 30 time : 0.0026868609711527824
residual 31 time : 0.005246388725936413
residual 32 time : 0.002786446362733841
residual 33 time : 0.002749386243522167
[0] forward pass batch GPU 0.3719567535445094s
residual 1 time : 0.008123014122247696
residual 2 time : 0.0059858281165361404
residual 3 time : 0.005939643830060959
residual 4 time : 0.006384625099599361
residual 5 time : 0.003410286270081997
residual 6 time : 0.0034256819635629654
residual 7 time : 0.0034134434536099434
residual 8 time : 0.004874581471085548
residual 9 time : 0.002315959893167019
residual 10 time : 0.0023114625364542007
residual 11 time : 0.002317897044122219
residual 12 time : 0.0023025814443826675
residual 13 time : 0.0023134350776672363
residual 14 time : 0.002339756116271019
residual 15 time : 0.002342366613447666
residual 16 time : 0.0023355847224593163
residual 17 time : 0.002331256866455078
residual 18 time : 0.002358434721827507
residual 19 time : 0.0023458776995539665
residual 20 time : 0.0023504169657826424
residual 21 time : 0.002351495437324047
residual 22 time : 0.0023635393008589745
residual 23 time : 0.0023750197142362595
residual 24 time : 0.0023611122742295265
residual 25 time : 0.002372549846768379
residual 26 time : 0.002366608940064907
residual 27 time : 0.002367415465414524
residual 28 time : 0.0023765452206134796
residual 29 time : 0.0023663118481636047
residual 30 time : 0.002363055944442749
residual 31 time : 0.0042928243055939674
residual 32 time : 0.002306598238646984
residual 33 time : 0.0022842418402433395
[1] forward pass batch GPU 0.10295472200959921s
residual 1 time : 0.008121107704937458
residual 2 time : 0.005971510894596577
residual 3 time : 0.0059498874470591545
residual 4 time : 0.006383763626217842
residual 5 time : 0.0034210365265607834
residual 6 time : 0.0034082522615790367
residual 7 time : 0.0034072771668434143
residual 8 time : 0.004902412183582783
residual 9 time : 0.0023166565224528313
residual 10 time : 0.0023135654628276825
residual 11 time : 0.0023155370727181435
residual 12 time : 0.0023105181753635406
residual 13 time : 0.0023155752569437027
residual 14 time : 0.002328888513147831
residual 15 time : 0.0023372946307063103
residual 16 time : 0.002347293309867382
residual 17 time : 0.0023295441642403603
residual 18 time : 0.002352233976125717
residual 19 time : 0.0023321937769651413
residual 20 time : 0.002336726523935795
residual 21 time : 0.002336445264518261
residual 22 time : 0.0023322878405451775
residual 23 time : 0.002350255846977234
residual 24 time : 0.0023470576852560043
residual 25 time : 0.0023464737460017204
residual 26 time : 0.0023453403264284134
residual 27 time : 0.0023534847423434258
residual 28 time : 0.0023603392764925957
residual 29 time : 0.002345130778849125
residual 30 time : 0.0023549068719148636
residual 31 time : 0.0042763445526361465
residual 32 time : 0.0022946298122406006
residual 33 time : 0.002250310964882374
[2] forward pass batch GPU 0.10257392842322588s
residual 1 time : 0.008149232715368271
residual 2 time : 0.005982193164527416
residual 3 time : 0.005960916168987751
residual 4 time : 0.006377388723194599
residual 5 time : 0.0034144409000873566
residual 6 time : 0.003405151888728142
residual 7 time : 0.003418717533349991
residual 8 time : 0.0049063097685575485
residual 9 time : 0.0023148758336901665
residual 10 time : 0.002312006428837776
residual 11 time : 0.0023098383098840714
residual 12 time : 0.002324884757399559
residual 13 time : 0.002308274619281292
residual 14 time : 0.0023093121126294136
residual 15 time : 0.0023243241012096405
residual 16 time : 0.0023374855518341064
residual 17 time : 0.0023429859429597855
residual 18 time : 0.0023425286635756493
residual 19 time : 0.002338999882340431
residual 20 time : 0.0023648301139473915
residual 21 time : 0.002340552397072315
residual 22 time : 0.0023513920605182648
residual 23 time : 0.0023386050015687943
residual 24 time : 0.0023503154516220093
residual 25 time : 0.0023499224334955215
residual 26 time : 0.002341591753065586
residual 27 time : 0.0023574940860271454
residual 28 time : 0.002344398759305477
residual 29 time : 0.0023679817095398903
residual 30 time : 0.002347297966480255
residual 31 time : 0.004265204071998596
residual 32 time : 0.0023077446967363358
residual 33 time : 0.0022801347076892853
[3] forward pass batch GPU 0.10267311986535788s
residual 1 time : 0.008081207983195782
residual 2 time : 0.00601632334291935
residual 3 time : 0.005985891446471214
residual 4 time : 0.00639804732054472
residual 5 time : 0.0034451140090823174
residual 6 time : 0.0034334110096096992
residual 7 time : 0.0034444062039256096
residual 8 time : 0.004913199692964554
residual 9 time : 0.0023461738601326942
residual 10 time : 0.0023432262241840363
residual 11 time : 0.002338300459086895
residual 12 time : 0.002345973625779152
residual 13 time : 0.002344761975109577
residual 14 time : 0.002361539751291275
residual 15 time : 0.0023705335333943367
residual 16 time : 0.0023676203563809395
residual 17 time : 0.0023614931851625443
residual 18 time : 0.0023710010573267937
residual 19 time : 0.0023639779537916183
residual 20 time : 0.0023703621700406075
residual 21 time : 0.0023698583245277405
residual 22 time : 0.002370540052652359
residual 23 time : 0.0023813648149371147
residual 24 time : 0.0023798970505595207
residual 25 time : 0.002387874759733677
residual 26 time : 0.002380979247391224
residual 27 time : 0.002385338768362999
residual 28 time : 0.0023830756545066833
residual 29 time : 0.0023839017376303673
residual 30 time : 0.002383713610470295
residual 31 time : 0.004293988458812237
residual 32 time : 0.0023320382460951805
residual 33 time : 0.0023006098344922066
[4] forward pass batch GPU 0.1037991838529706s
residual 1 time : 0.008132075890898705
residual 2 time : 0.0059812841936945915
residual 3 time : 0.005945929326117039
residual 4 time : 0.006384742446243763
residual 5 time : 0.0034196022897958755
residual 6 time : 0.003413497470319271
residual 7 time : 0.003418239764869213
residual 8 time : 0.004904451780021191
residual 9 time : 0.0023228665813803673
residual 10 time : 0.0023155203089118004
residual 11 time : 0.002317500300705433
residual 12 time : 0.002313956618309021
residual 13 time : 0.002320648171007633
residual 14 time : 0.002312558703124523
residual 15 time : 0.002314368262887001
residual 16 time : 0.002308727242052555
residual 17 time : 0.0023118238896131516
residual 18 time : 0.0023133251816034317
residual 19 time : 0.0023090578615665436
residual 20 time : 0.0023169927299022675
residual 21 time : 0.0023109382018446922
residual 22 time : 0.00231728982180357
residual 23 time : 0.002310521900653839
residual 24 time : 0.002314881421625614
residual 25 time : 0.0023166555911302567
residual 26 time : 0.0023073842748999596
residual 27 time : 0.002333437092602253
residual 28 time : 0.002309453673660755
residual 29 time : 0.0023142732679843903
residual 30 time : 0.002309143543243408
residual 31 time : 0.00414456520229578
residual 32 time : 0.002230171114206314
residual 33 time : 0.00220700167119503
[5] forward pass batch GPU 0.10199583880603313s
residual 1 time : 0.008125167340040207
residual 2 time : 0.005966540426015854
residual 3 time : 0.005968344397842884
residual 4 time : 0.006394808180630207
residual 5 time : 0.0034150872379541397
residual 6 time : 0.0034086909145116806
residual 7 time : 0.0034290337935090065
residual 8 time : 0.004905872978270054
residual 9 time : 0.002322692424058914
residual 10 time : 0.0023214491084218025
residual 11 time : 0.0023306645452976227
residual 12 time : 0.0023168381303548813
residual 13 time : 0.00232053454965353
residual 14 time : 0.00231791939586401
residual 15 time : 0.002317274920642376
