Current cuda device  3
Files already downloaded and verified
trainloader :  <torch.utils.data.dataloader.DataLoader object at 0x7fd42ad351f0>
residual 1 time : 0.00691381748765707
residual 2 time : 0.005007890053093433
residual 3 time : 0.005014359951019287
residual 4 time : 0.005332074128091335
residual 5 time : 0.0036074621602892876
residual 6 time : 0.003123377449810505
residual 7 time : 0.003175852820277214
residual 8 time : 0.004328281618654728
residual 9 time : 0.0024576978757977486
residual 10 time : 0.0026200832799077034
residual 11 time : 0.0023001404479146004
residual 12 time : 0.002636978402733803
residual 13 time : 0.002359498292207718
residual 14 time : 0.002673397772014141
residual 15 time : 0.0045837946236133575
residual 16 time : 0.003972233273088932
residual 17 time : 0.0022976864129304886
residual 18 time : 0.0027297688648104668
residual 19 time : 0.0023361612111330032
residual 20 time : 0.0027435924857854843
residual 21 time : 0.0023097582161426544
residual 22 time : 0.002801378257572651
residual 23 time : 0.0023028040304780006
residual 24 time : 0.0027897311374545097
residual 25 time : 0.002308507449924946
residual 26 time : 0.002733602188527584
residual 27 time : 0.0023267092183232307
residual 28 time : 0.002764519304037094
residual 29 time : 0.002302226610481739
residual 30 time : 0.0027678096666932106
residual 31 time : 0.003781864419579506
residual 32 time : 0.0020930254831910133
residual 33 time : 0.0019670547917485237
[0] forward pass batch GPU 0.4212679034098983s
residual 1 time : 0.005722763016819954
residual 2 time : 0.004458761774003506
residual 3 time : 0.004453214816749096
residual 4 time : 0.00473941583186388
residual 5 time : 0.0025796592235565186
residual 6 time : 0.002565342001616955
residual 7 time : 0.0025720028206706047
residual 8 time : 0.003543563187122345
residual 9 time : 0.0017040343955159187
residual 10 time : 0.0017078472301363945
residual 11 time : 0.0017093420028686523
residual 12 time : 0.0017059408128261566
residual 13 time : 0.0017119105905294418
residual 14 time : 0.0017067072913050652
residual 15 time : 0.0017062872648239136
residual 16 time : 0.0016984743997454643
residual 17 time : 0.0017263172194361687
residual 18 time : 0.0017237178981304169
residual 19 time : 0.0017284099012613297
residual 20 time : 0.0017260480672121048
residual 21 time : 0.0017289584502577782
residual 22 time : 0.0017316164448857307
residual 23 time : 0.0017221663147211075
residual 24 time : 0.00172450952231884
residual 25 time : 0.0017330218106508255
residual 26 time : 0.00173154566437006
residual 27 time : 0.0017322571948170662
residual 28 time : 0.0017410321161150932
residual 29 time : 0.0017361175268888474
residual 30 time : 0.0017379475757479668
residual 31 time : 0.00305028073489666
residual 32 time : 0.0016133440658450127
residual 33 time : 0.0015879366546869278
[1] forward pass batch GPU 0.07670577522367239s
residual 1 time : 0.005854683928191662
residual 2 time : 0.004462476819753647
residual 3 time : 0.004459320567548275
residual 4 time : 0.004737702198326588
residual 5 time : 0.002568698488175869
residual 6 time : 0.0025734221562743187
residual 7 time : 0.0025690821930766106
residual 8 time : 0.0035474933683872223
residual 9 time : 0.0017100218683481216
residual 10 time : 0.0017057368531823158
residual 11 time : 0.0017066095024347305
residual 12 time : 0.0017021801322698593
residual 13 time : 0.0017151599749922752
residual 14 time : 0.0017225202172994614
residual 15 time : 0.0017286017537117004
residual 16 time : 0.0017190147191286087
residual 17 time : 0.0017197318375110626
residual 18 time : 0.0017215423285961151
residual 19 time : 0.001720186322927475
residual 20 time : 0.0017236247658729553
residual 21 time : 0.0017171995714306831
residual 22 time : 0.0017226319760084152
residual 23 time : 0.001720460131764412
residual 24 time : 0.0017570266500115395
residual 25 time : 0.0017421189695596695
residual 26 time : 0.0017425641417503357
residual 27 time : 0.0017448002472519875
residual 28 time : 0.0017437217757105827
residual 29 time : 0.0017407014966011047
residual 30 time : 0.0017395773902535439
residual 31 time : 0.003073818050324917
residual 32 time : 0.0016256580129265785
